statement_id,Link,Publication Date,Entities,Annual Revenue,Industry Sectors,Countries
2151,https://modernslaveryregister.gov.au/statements/2151/,2021-04-23 10:28:07,['Impax Asset Management Limited'],0-99M,"['Financial, insurance and real estate activities']",['United Kingdom']
2155,https://modernslaveryregister.gov.au/statements/2155/,2021-04-23 10:23:31,['SHOPPING CENTRES AUSTRALASIA PROPERTY GROUP RE LIMITED (47 158 809 851)'],250-300M,"['Financial, insurance and real estate activities']",['Australia']
2157,https://modernslaveryregister.gov.au/statements/2157/,2021-04-23 11:48:15,['THE REJECT SHOP LIMITED (33 006 122 676)'],800-900M,"['Food and beverages, agriculture and fishing\nDurable consumer goods, including electronics and appliances, home furnishings and other accessories']",['Australia']
2158,https://modernslaveryregister.gov.au/statements/2158/,2021-04-23 10:31:00,"['ALLENS (47 702 595 758), ALLENS OPERATIONS PTY LTD (87 004 992 607)']",500-600M,"['Professional and administrative services and supplies, including legal, consulting and accounting services']",['Australia']
2166,https://modernslaveryregister.gov.au/statements/2166/,2021-04-23 10:33:12,"['THE TRUSTEE FOR AIRTRUNK AUSTRALIA HOLDINGS TRUST (89 469 259 695), THE TRUSTEE FOR AIRTRUNK SYDNEY LAND TRUST (89 561 908 089), The Trustee for Andante Holding Trust (57 334 256 317)']",300-350M,"['Construction, civil engineering and building products\nInformation technology and telecommunication']",['Australia']
2168,https://modernslaveryregister.gov.au/statements/2168/,2021-04-23 11:48:38,['WORLD VISION AUSTRALIA (28 004 778 081)'],500-600M,['Charitable / not-for-profit activities'],['Australia']
2170,https://modernslaveryregister.gov.au/statements/2170/,2021-04-23 11:49:15,['GROSVENOR ENGINEERING GROUP PTY LTD (12 003 608 795)'],200-250M,"['Construction, civil engineering and building products']",['Australia']
2175,https://modernslaveryregister.gov.au/statements/2175/,2021-06-10 10:11:54,"['COUNTRY ROAD CLOTHING PTY. LTD. (84 005 419 447), COUNTRY ROAD GROUP PTY LTD (78 006 759 182), MIMCO PTY LTD (13 067 573 291), WITCHERY AUSTRALIA HOLDINGS PTY LIMITED (64 120 925 368), WITCHERY FASHIONS PTY. LTD. (70 006 897 230), Witchery Holdings Pty Ltd (84 120 830 613), WOOLWORTHS INTERNATIONAL (AUSTRALIA) PTY LIMITED (21 078 178 220)']",1BN+,"['Fashion, textiles, apparel and luxury goods']",['Australia']
2180,https://modernslaveryregister.gov.au/statements/2180/,2021-04-23 10:20:54,['MULAWA HOLDINGS PTY LTD (18 000 259 834)'],500-600M,"['Transportation, logistics, and storage\nConsumer services, including accommodation, hospitality, tourism and leisure']",['Australia']
2181,https://modernslaveryregister.gov.au/statements/2181/,2021-04-23 10:20:29,['LIFESTYLE SOLUTIONS (AUST) LTD (85 097 999 347)'],150-200M,['Charitable / not-for-profit activities'],['Australia']
2182,https://modernslaveryregister.gov.au/statements/2182/,2021-04-23 10:20:42,['BEYOND BANK AUSTRALIA LIMITED (15 087 651 143)'],200-250M,"['Financial, insurance and real estate activities']",['Australia']
2186,https://modernslaveryregister.gov.au/statements/2186/,2021-04-23 11:49:59,['CHUBB INSURANCE AUSTRALIA LTD (23 001 642 020)'],1BN+,"['Financial, insurance and real estate activities']",['Australia']
2188,https://modernslaveryregister.gov.au/statements/2188/,2021-04-23 10:22:37,"['BABASINE PTY LIMITED (12 010 221 922), BERENDSEN FLUID POWER PTY LIMITED (29 058 390 382), CCA HARDCHROME PTY LIMITED (12 617 405 704), ENGINEERED PRODUCTS GROUP PTY LTD (85 116 067 077), MALCOLM THOMPSON PUMPS PTY. LTD. (28 009 095 818), PACIFIC HYDRAULICS PTY. LTD. (79 011 053 704), Questas Corporate Pty Limited (80 119 243 891), QUESTAS GROUP PTY LTD (50 633 740 388), THE HYDRAULIC WAREHOUSE PTY LIMITED (28 150 310 759), WATER DYNAMICS PTY LIMITED (11 168 026 604)']",100-150M,['Other'],['Australia']
2193,https://modernslaveryregister.gov.au/statements/2193/,2021-04-23 10:22:25,['KOGAN.COM LTD (96 612 447 293)'],450-500M,"['Durable consumer goods, including electronics and appliances, home furnishings and other accessories']",['Australia']
2195,https://modernslaveryregister.gov.au/statements/2195/,2021-04-23 10:32:34,"['ACEWAY NOMINEES PTY LTD (13 077 576 802), AUTO CORNER PTY LTD (45 009 905 079), EL NINO PTY LTD (66 056 777 087), EL VIEJO PTY LTD (72 082 087 983), KAIZEN MOTORS PTY LTD (67 603 805 278), LA NINA INTERNATIONAL PTY LTD (97 082 088 015), MAZ FLEET PTY LTD (71 644 881 676), NORTHERN TRADING PTY. LTD. (89 009 956 307), SCIFLEET GROUP OF COMPANIES PTY LTD (23 010 079 044), SCI-FLEET MOTORS PTY LTD (25 057 783 749), SOUTH CITY AUTOMOTIVE GROUP PTY LTD (72 098 801 033), SOUTH COAST CORPORATION PTY LTD (41 098 795 763), TAIPAN CORPORATION PTY. LTD. (97 010 410 698), The Trustee for THE TSUNAMI TRUST (15 149 393 182)']",1BN+,"['Automotive, machinery and heavy electrical equipment']",['Australia']
2196,https://modernslaveryregister.gov.au/statements/2196/,2021-04-23 10:22:13,['AUSTRALIA COUNCIL (38 392 626 187)'],100-150M,"['Media, publishing, arts and entertainment']",['Australia']
2197,https://modernslaveryregister.gov.au/statements/2197/,2021-04-23 11:50:09,['GREATER BANK LIMITED (88 087 651 956)'],150-200M,"['Financial, insurance and real estate activities']",['Australia']
2206,https://modernslaveryregister.gov.au/statements/2206/,2021-04-23 10:22:59,['Virtus Health Limited (80 129 643 492)'],250-300M,['Healthcare and pharmaceuticals'],['Australia']
2208,https://modernslaveryregister.gov.au/statements/2208/,2021-06-10 11:13:47,"['LYNAS AFRICA HOLDINGS PTY LTD (51 148 189 511), Lynas Africa Limited, LYNAS KALGOORLIE PTY LTD (73 053 160 302), Lynas Malaysia Sdn Bhd, LYNAS RARE EARTHS LIMITED (27 009 066 648), LYNAS SERVICES PTY LTD (31 103 936 232), Lynas USA LLC, MT WELD HOLDINGS LIMITED (75 073 998 106), MT WELD MINING PTY LIMITED (96 053 160 400)']",600-700M,"['Mining, metals, chemicals and resources (including oil and gas)']","['Australia, Malaysia']"
2209,https://modernslaveryregister.gov.au/statements/2209/,2021-04-23 10:23:10,"['EASTPOINT PTY LTD (64 008 687 367), PERRON INVESTMENTS PTY LTD (48 000 003 976), The Trustee for THE PRESTIGE TOYOTA TRUST (42 855 447 753)']",1BN+,"['Automotive, machinery and heavy electrical equipment\nOther']",['Australia']
2213,https://modernslaveryregister.gov.au/statements/2213/,2021-04-23 10:23:20,['Chorus Limited'],250-300M,['Information technology and telecommunication'],['New Zealand']
2214,https://modernslaveryregister.gov.au/statements/2214/,2021-04-27 09:49:20,['Spark New Zealand Limited'],1BN+,['Information technology and telecommunication'],['New Zealand']
2215,https://modernslaveryregister.gov.au/statements/2215/,2021-04-23 11:50:50,['PTH NO 1 PTY LTD (43 611 116 155)'],600-700M,"['Transportation, logistics, and storage']",['Australia']
2219,https://modernslaveryregister.gov.au/statements/2219/,2021-04-23 11:51:10,['ARNOLD BLOCH LEIBLER (30 331 510 906)'],100-150M,"['Professional and administrative services and supplies, including legal, consulting and accounting services']",['Australia']
2220,https://modernslaveryregister.gov.au/statements/2220/,2021-04-23 11:51:00,['Atlassian Corporation Plc'],1BN+,['Information technology and telecommunication'],"['Australia, United Kingdom']"
2223,https://modernslaveryregister.gov.au/statements/2223/,2021-04-23 10:46:47,['Retail Zoo Holdings Pty Ltd (51 169 039 721)'],150-200M,"['Food and beverages, agriculture and fishing']",['Australia']
2225,https://modernslaveryregister.gov.au/statements/2225/,2021-04-23 10:23:41,"['EMERSON AUTOMATION SOLUTIONS FINAL CONTROL AUSTRALIA PTY LIMITED (83 000 922 690), EMERSON PROCESS MANAGEMENT AUSTRALIA PTY LTD (99 004 590 005)']",200-250M,"['Mining, metals, chemicals and resources (including oil and gas)']",['Australia']
2228,https://modernslaveryregister.gov.au/statements/2228/,2021-04-23 10:23:52,"['CANSTRUCT INTERNATIONAL PTY LTD (16 603 088 151), RARD NO 3 PTY LTD (87 618 271 542)']",300-350M,"['Construction, civil engineering and building products\nConsumer services, including accommodation, hospitality, tourism and leisure\nFinancial, insurance and real estate activities\nCharitable / not-for-profit activities\nOther']",['Australia']
2229,https://modernslaveryregister.gov.au/statements/2229/,2021-04-23 10:28:16,['SCS SUPER PTY. LIMITED (74 064 712 607)'],800-900M,"['Financial, insurance and real estate activities']",['Australia']
2232,https://modernslaveryregister.gov.au/statements/2232/,2021-04-23 10:37:54,['The Trustee for Port of Melbourne Unit Trust (83 751 315 034)'],500-600M,"['Transportation, logistics, and storage']",['Australia']
2236,https://modernslaveryregister.gov.au/statements/2236/,2021-04-23 11:51:41,['RURAL PRESS PTY LIMITED (47 000 010 382)'],300-350M,"['Media, publishing, arts and entertainment']",['Australia']
2237,https://modernslaveryregister.gov.au/statements/2237/,2021-04-23 10:24:04,"['DARACON CONTRACTORS PTY LTD (82 002 344 667), DAROMIN ENGINEERING PTY LTD (20 001 236 255), The Trustee for DARACON UNIT TRUST (75 529 095 602)']",600-700M,"['Construction, civil engineering and building products']",['Australia']
2245,https://modernslaveryregister.gov.au/statements/2245/,2021-05-18 11:30:11,['The Trustee for Cross Yarra Trust 1 & The Trustee for Cross Yarra Trust 2 & The Trustee for Cross Yarra Trust 3 & The Trustee for John Holland (CY) Trust (57 956 065 885)'],1BN+,"['Construction, civil engineering and building products']",['Australia']
2246,https://modernslaveryregister.gov.au/statements/2246/,2021-04-23 11:52:00,['MADEC AUSTRALIA (48 086 804 015)'],100-150M,['Charitable / not-for-profit activities'],['Australia']
2247,https://modernslaveryregister.gov.au/statements/2247/,2021-07-09 11:16:37,['MNF GROUP LIMITED (37 118 699 853)'],200-250M,['Information technology and telecommunication'],['Australia']
2250,https://modernslaveryregister.gov.au/statements/2250/,2021-04-23 10:26:20,"['BRIDGEHEAD PROPRIETARY LIMITED (23 006 082 515), The Trustee for THE GANDEL GROUP FAMILY TRUST (33 786 200 165)']",250-300M,['Other'],['Australia']
2253,https://modernslaveryregister.gov.au/statements/2253/,2021-04-23 10:24:27,['COAL MINING INDUSTRY (LONG SERVICE LEAVE FUNDING) CORPORATION (12 039 670 644)'],150-200M,['Other'],['Australia']
2254,https://modernslaveryregister.gov.au/statements/2254/,2021-06-10 10:11:30,"['DAVID JONES PTY LIMITED (75 000 074 573), OSIRIS HOLDINGS PTY LTD (29 168 919 391), VELA INVESTMENTS PTY LTD (91 168 920 447)']",1BN+,"['Fashion, textiles, apparel and luxury goods']",['Australia']
2259,https://modernslaveryregister.gov.au/statements/2259/,2021-05-12 13:41:44,['Christian Super (66 628 776 348)'],150-200M,"['Financial, insurance and real estate activities']",['Australia']
2261,https://modernslaveryregister.gov.au/statements/2261/,2021-04-23 10:25:18,['Petstock Pty Ltd (80 098 394 588)'],350-400M,"['Food and beverages, agriculture and fishing']",['Australia']
2264,https://modernslaveryregister.gov.au/statements/2264/,2021-04-27 09:43:56,['INDEPENDENCE AUSTRALIA GROUP (80 973 805 243)'],150-200M,['Healthcare and pharmaceuticals\nCharitable / not-for-profit activities\nOther'],['Australia']
2265,https://modernslaveryregister.gov.au/statements/2265/,2021-05-12 13:41:54,['LOGICALIS AUSTRALIA HOLDINGS PTY LTD (67 089 914 581)'],100-150M,['Information technology and telecommunication'],['Australia']
2266,https://modernslaveryregister.gov.au/statements/2266/,2021-04-23 10:27:57,"['FOGHORN HOLDINGS PTY LTD (87 122 558 874), REBEL GROUP LIMITED (97 110 006 678), REBEL SPORT LIMITED (78 003 283 823), SRG LEISURE RETAIL PTY LTD (51 110 667 411), SUPER CHEAP AUTO PTY LTD (64 085 395 124), SUPER RETAIL GROUP LIMITED (81 108 676 204)']",1BN+,"['Durable consumer goods, including electronics and appliances, home furnishings and other accessories\nFashion, textiles, apparel and luxury goods\nOther']",['Australia']
2270,https://modernslaveryregister.gov.au/statements/2270/,2021-04-23 10:25:28,['PEARL CORPORATION OF AUSTRALIA PTY. LTD. (33 009 623 081)'],150-200M,"['Food and beverages, agriculture and fishing\nFashion, textiles, apparel and luxury goods\nOther']",['Australia']
2274,https://modernslaveryregister.gov.au/statements/2274/,2021-04-23 10:25:38,['SYDNEY WATER CORPORATION (49 776 225 038)'],1BN+,"['Utilities: gas, water and electricity']",['Australia']
2275,https://modernslaveryregister.gov.au/statements/2275/,2021-04-23 10:25:54,['Amcor plc'],1BN+,"['Forestry, timber products, paper and containers and packaging']",['Switzerland']
2276,https://modernslaveryregister.gov.au/statements/2276/,2021-04-23 11:53:58,['T.J. & R.F. FORDHAM PTY LTD (56 000 548 354)'],150-200M,"['Construction, civil engineering and building products']",['Australia']
2283,https://modernslaveryregister.gov.au/statements/2283/,2021-04-23 11:55:09,['THE PAS GROUP LIMITED (25 169 477 463)'],200-250M,"['Fashion, textiles, apparel and luxury goods']",['Australia']
2284,https://modernslaveryregister.gov.au/statements/2284/,2021-06-10 11:17:12,['GBST HOLDINGS LTD (85 010 488 874)'],100-150M,['Information technology and telecommunication'],['Australia']
2286,https://modernslaveryregister.gov.au/statements/2286/,2021-04-23 10:26:56,['RPMGLOBAL HOLDINGS LIMITED (17 010 672 321)'],0-99M,"['Mining, metals, chemicals and resources (including oil and gas)\nInformation technology and telecommunication']",['Australia']
2288,https://modernslaveryregister.gov.au/statements/2288/,2021-04-23 11:56:48,['ROBERTS CO AUSTRALIA PTY LTD (83 616 561 678)'],250-300M,"['Construction, civil engineering and building products']",['Australia']
2289,https://modernslaveryregister.gov.au/statements/2289/,2021-04-23 10:27:06,['BOB JANE CORPORATION PTY LTD (52 005 870 431)'],200-250M,"['Automotive, machinery and heavy electrical equipment']",['Australia']
2294,https://modernslaveryregister.gov.au/statements/2294/,2021-04-23 10:27:31,['WESTERN AREAS LIMITED (68 091 049 357)'],300-350M,"['Mining, metals, chemicals and resources (including oil and gas)']",['Australia']
2295,https://modernslaveryregister.gov.au/statements/2295/,2021-05-12 12:45:10,"['FIRST SOURCING AND LOGISTICS PTY LTD (43 640 133 606), The Trustee for The Minderoo Foundation Trust (24 819 440 618)']",500-600M,['Charitable / not-for-profit activities'],['Australia']
2297,https://modernslaveryregister.gov.au/statements/2297/,2021-04-23 10:27:46,['Gold Corporation (98 828 298 431)'],1BN+,"['Mining, metals, chemicals and resources (including oil and gas)']",['Australia']
2302,https://modernslaveryregister.gov.au/statements/2302/,2021-05-12 12:32:31,['PETER MACCALLUM CANCER INSTITUTE (42 100 504 883)'],700-800M,['Education and research\nHealthcare and pharmaceuticals\nCharitable / not-for-profit activities'],['Australia']
2303,https://modernslaveryregister.gov.au/statements/2303/,2021-04-23 10:28:25,['JAYBRO GROUP PTY LTD. (48 159 122 488)'],200-250M,"['Construction, civil engineering and building products']",['Australia']
2306,https://modernslaveryregister.gov.au/statements/2306/,2021-04-23 10:28:36,['RETAIL EMPLOYEES SUPERANNUATION PTY. LIMITED (39 001 987 739)'],1BN+,"['Financial, insurance and real estate activities']",['Australia']
2308,https://modernslaveryregister.gov.au/statements/2308/,2021-04-23 10:29:12,['HEALTHDIRECT AUSTRALIA LTD (28 118 291 044)'],150-200M,['Healthcare and pharmaceuticals'],['Australia']
2310,https://modernslaveryregister.gov.au/statements/2310/,2021-04-23 10:32:49,"['AUSTRALIAN INDEPENDENT RURAL RETAILERS PTY LTD (36 112 308 835), ELDERS LIMITED (34 004 336 636), ELDERS RURAL SERVICES AUSTRALIA LIMITED (72 004 045 121), KILLARA FEEDLOT PTY LTD (18 081 072 746), Titan Ag Pty Ltd (57 122 081 574)']",1BN+,"['Food and beverages, agriculture and fishing\nProfessional and administrative services and supplies, including legal, consulting and accounting services\nOther']",['Australia']
2311,https://modernslaveryregister.gov.au/statements/2311/,2021-04-23 10:28:47,['PREMIER INVESTMENTS LIMITED (64 006 727 966)'],1BN+,"['Fashion, textiles, apparel and luxury goods']",['Australia']
2313,https://modernslaveryregister.gov.au/statements/2313/,2021-04-23 10:29:59,"['JB Hi-Fi (A) Pty Ltd, JB HI-FI (B) PTY LTD (75 614 635 835), JB HI-FI GROUP PTY LTD (37 093 114 286), JB HI-FI LIMITED (80 093 220 136), The Good Guys Discount Warehouses (Australia) Pty Ltd (48 004 880 657), The Trustee for MUIR INVESTMENT UNIT TRUST (39 033 911 881), THE TRUSTEE FOR THE GOOD GUYS DISCOUNT WAREHOUSES (AUSTRALIA) TRUST (96 821 962 838)']",1BN+,"['Durable consumer goods, including electronics and appliances, home furnishings and other accessories']",['Australia']
2314,https://modernslaveryregister.gov.au/statements/2314/,2021-04-23 10:28:58,"['QUEENSLAND RAIL (68 598 268 528), QUEENSLAND RAIL LIMITED (71 132 181 090)']",1BN+,"['Transportation, logistics, and storage']",['Australia']
2315,https://modernslaveryregister.gov.au/statements/2315/,2021-04-23 11:55:32,"['APH TOP CO PTY LIMITED (96 608 192 374), PORT OF BRISBANE PTY LTD (78 143 384 749), QPH Finance Co Pty Limited (74 146 988 454), QPH Hold Co Pty Limited (31 146 978 994), QPH PORT ACQUISITION CO PTY LIMITED (81 146 985 677), THE TRUSTEE FOR QPH HOLD TRUST (36 467 446 294), The Trustee for QPH Property Trust (37 014 309 893)']",800-900M,"['Transportation, logistics, and storage']",['Australia']
2316,https://modernslaveryregister.gov.au/statements/2316/,2021-04-23 10:29:27,['SEALINK TRAVEL GROUP LIMITED (49 109 078 257)'],600-700M,"['Transportation, logistics, and storage\nConsumer services, including accommodation, hospitality, tourism and leisure']",['Australia']
2319,https://modernslaveryregister.gov.au/statements/2319/,2021-05-12 12:11:36,['AUB GROUP LIMITED (60 000 000 715)'],300-350M,"['Financial, insurance and real estate activities']",['Australia']
2323,https://modernslaveryregister.gov.au/statements/2323/,2021-04-23 10:29:38,['HASSELL LTD (24 007 711 435)'],100-150M,"['Professional and administrative services and supplies, including legal, consulting and accounting services']",['Australia']
2324,https://modernslaveryregister.gov.au/statements/2324/,2021-04-23 11:55:21,['CHEAP AS CHIPS DISCOUNT STORES PTY LTD (17 616 449 122)'],100-150M,"['Durable consumer goods, including electronics and appliances, home furnishings and other accessories\nCosmetics and toiletries']",['Australia']
2328,https://modernslaveryregister.gov.au/statements/2328/,2021-04-23 10:44:50,"['FES COAL PTY LTD (35 626 773 911), OKR TECHNICAL SERVICES AUSTRALIA PTY LTD (52 612 348 222), One Key Holdings Pty Ltd (42 150 149 643), ONE KEY RESOURCES PTY LTD (30 141 650 259)']",700-800M,"['Mining, metals, chemicals and resources (including oil and gas)']",['Australia']
2337,https://modernslaveryregister.gov.au/statements/2337/,2021-04-23 10:30:49,['VGW HOLDINGS LIMITED (36 147 193 511)'],700-800M,"['Media, publishing, arts and entertainment']",['Australia']
2340,https://modernslaveryregister.gov.au/statements/2340/,2021-04-23 10:30:29,['SYDNEY FISH MARKET PTY LTD (24 064 254 306)'],100-150M,"['Food and beverages, agriculture and fishing']",['Australia']
2341,https://modernslaveryregister.gov.au/statements/2341/,2021-04-23 11:55:54,['TEEKAY SHIPPING (AUSTRALIA) PTY LTD (35 079 641 580)'],100-150M,"['Transportation, logistics, and storage\nDefence and aerospace']",['Canada']
2343,https://modernslaveryregister.gov.au/statements/2343/,2021-05-18 11:26:38,['SOUTHERN PORTS AUTHORITY (30 044 341 250)'],100-150M,['Other'],['Australia']
2345,https://modernslaveryregister.gov.au/statements/2345/,2021-04-23 11:56:06,['COMMONWEALTH BANK OFFICERS SUPERANNUATION CORPORATION PTY LIMITED (76 074 519 798)'],100-150M,"['Financial, insurance and real estate activities']",['Australia']
2346,https://modernslaveryregister.gov.au/statements/2346/,2021-04-23 10:31:10,['OZSALE PTY. LIMITED (11 118 610 987)'],100-150M,"['Fashion, textiles, apparel and luxury goods']",['Australia']
2348,https://modernslaveryregister.gov.au/statements/2348/,2021-04-23 11:56:15,['Boom Logistics Limited (28 095 466 961)'],150-200M,"['Mining, metals, chemicals and resources (including oil and gas)']",['Australia']
2349,https://modernslaveryregister.gov.au/statements/2349/,2021-04-23 10:33:38,['AURORA ENERGY PTY LTD (85 082 464 622)'],900M-1BN,"['Utilities: gas, water and electricity']",['Australia']
2350,https://modernslaveryregister.gov.au/statements/2350/,2021-04-23 10:31:23,"['BAREAGE PTY. LIMITED (52 060 526 865), CAIRNTON HOLDINGS PTY LIMITED (79 008 394 134), CAVALANE HOLDINGS PTY LIMITED (20 080 695 754), Chatsworth Two Limited, CONPRESS HOLDINGS PTY LIMITED (72 088 047 974), CONSOLIDATED PRESS (FINANCE) PTY LTD (22 001 557 035), CPH CROWN HOLDINGS PTY LIMITED (25 603 296 804)']",1BN+,['Other'],['Australia']
2351,https://modernslaveryregister.gov.au/statements/2351/,2021-05-12 12:12:05,['VERMONT AUS HOLDCO PTY LTD (82 626 842 135)'],1BN+,"['Food and beverages, agriculture and fishing\nHealthcare and pharmaceuticals\nOther']",['Australia']
2353,https://modernslaveryregister.gov.au/statements/2353/,2021-04-23 10:31:51,['CEREBRAL PALSY ALLIANCE (45 000 062 288)'],200-250M,['Charitable / not-for-profit activities'],['Australia']
2354,https://modernslaveryregister.gov.au/statements/2354/,2021-04-23 11:56:24,['SUNLAND GROUP LIMITED (65 063 429 532)'],150-200M,"['Financial, insurance and real estate activities']",['Australia']
2356,https://modernslaveryregister.gov.au/statements/2356/,2021-04-23 10:31:33,['PHARSALUS INVESTMENTS PTY LIMITED (88 163 462 637)'],1BN+,"['Construction, civil engineering and building products']",['Australia']
2357,https://modernslaveryregister.gov.au/statements/2357/,2021-04-23 10:31:40,['A ABRAHAMS & Others (58 207 240 529)'],100-150M,"['Professional and administrative services and supplies, including legal, consulting and accounting services']",['Australia']
2359,https://modernslaveryregister.gov.au/statements/2359/,2021-04-23 11:56:38,['R.C. SADLEIR PTY LIMITED (65 008 667 052)'],150-200M,"['Transportation, logistics, and storage']",['Australia']
2360,https://modernslaveryregister.gov.au/statements/2360/,2021-04-23 10:32:01,['ETHAN GROUP PTY LTD (93 099 503 456)'],150-200M,['Information technology and telecommunication'],['Australia']
2363,https://modernslaveryregister.gov.au/statements/2363/,2021-05-18 11:28:37,['Victoria Amateur Turf Club (incorporating the Melbourne Racing Club) (96 267 203 624)'],200-250M,"['Food and beverages, agriculture and fishing\nConsumer services, including accommodation, hospitality, tourism and leisure\nCharitable / not-for-profit activities']",['Australia']
2369,https://modernslaveryregister.gov.au/statements/2369/,2021-04-23 10:33:27,['NTI LIMITED (84 000 746 109)'],100-150M,"['Financial, insurance and real estate activities']",['Australia']
2373,https://modernslaveryregister.gov.au/statements/2373/,2021-04-23 11:57:00,"['KORDIA PTY LIMITED (33 329 454 259), KORDIA SOLUTIONS PTY LIMITED (80 002 649 229)']",0-99M,"['Construction, civil engineering and building products\nInformation technology and telecommunication']",['Australia']
2374,https://modernslaveryregister.gov.au/statements/2374/,2021-04-23 10:34:00,['MPA HOLDINGS (AUST.) PTY LIMITED (20 609 473 421)'],250-300M,"['Construction, civil engineering and building products']",['Australia']
2381,https://modernslaveryregister.gov.au/statements/2381/,2021-04-23 11:57:19,['THE FRANK WHIDDON MASONIC HOMES OF NEW SOUTH WALES (49 082 385 091)'],100-150M,['Healthcare and pharmaceuticals\nCharitable / not-for-profit activities'],['Australia']
2383,https://modernslaveryregister.gov.au/statements/2383/,2021-04-23 11:57:28,"['Baseline IP Pty Ltd, CULTURE KINGS BRISBANE PTY LTD (57 600 222 517), CULTURE KINGS GOLD COAST PTY LTD (56 600 222 955), CULTURE KINGS GROUP PTY LTD (33 627 007 970), CULTURE KINGS MELBOURNE PTY LTD (52 164 107 608), Culture Kings NZ Limited, CULTURE KINGS PERTH PTY LTD (28 603 930 669), Culture Kings Pty Ltd (44 140 242 968), CULTURE KINGS SYDNEY PTY LTD (70 600 222 133), DXXM Life IP Pty Ltd, Pyra IP Pty Ltd, TF APPAREL PTY LTD (27 140 259 918), TF INTELLECTUAL PROPERTY PTY LTD (44 140 258 742), TF IP Investments Pty Ltd']",250-300M,"['Fashion, textiles, apparel and luxury goods']",['Australia']
2385,https://modernslaveryregister.gov.au/statements/2385/,2021-04-23 10:35:10,"['21st Century Resorts Holdings Pty Limited (33 104 201 014), BALMORAL PASTORAL INVESTMENTS PTY. LTD. (81 002 238 995), BALMORAL PASTORAL PTY. LTD. (22 001 202 606), HAMILTON ISLAND ENTERPRISES LIMITED (61 009 946 909), ROBERT OATLEY VINEYARDS PTY. LTD. (63 118 584 928)']",1BN+,"['Food and beverages, agriculture and fishing\nConsumer services, including accommodation, hospitality, tourism and leisure\nFinancial, insurance and real estate activities\nOther']",['Australia']
2386,https://modernslaveryregister.gov.au/statements/2386/,2021-04-23 10:34:26,['MODERN STAR PTY LIMITED (31 101 306 950)'],250-300M,['Education and research'],['Australia']
2390,https://modernslaveryregister.gov.au/statements/2390/,2021-04-23 11:57:48,['SILVER CHAIN GROUP LIMITED (77 119 417 018)'],350-400M,['Charitable / not-for-profit activities'],['Australia']
2393,https://modernslaveryregister.gov.au/statements/2393/,2021-04-23 11:57:59,['VITA GROUP LIMITED (62 113 178 519)'],700-800M,"['Durable consumer goods, including electronics and appliances, home furnishings and other accessories\nInformation technology and telecommunication\nHealthcare and pharmaceuticals']",['Australia']
2395,https://modernslaveryregister.gov.au/statements/2395/,2021-04-23 11:58:11,['NAVIGATOR GLOBAL INVESTMENTS LIMITED (47 101 585 737)'],100-150M,"['Financial, insurance and real estate activities']","['Australia, United States of America']"
2397,https://modernslaveryregister.gov.au/statements/2397/,2021-04-23 10:50:59,['COMPLETE OFFICE SUPPLIES PTY LTD (92 001 634 715)'],200-250M,['Other'],['Australia']
2398,https://modernslaveryregister.gov.au/statements/2398/,2021-05-12 12:32:34,['Ahrens Group Pty Ltd (76 114 260 230)'],400-450M,"['Food and beverages, agriculture and fishing\nMining, metals, chemicals and resources (including oil and gas)\nUtilities: gas, water and electricity\nConstruction, civil engineering and building products']",['Australia']
2400,https://modernslaveryregister.gov.au/statements/2400/,2021-04-23 10:34:48,['AUSTRALIAN SPORTS COMMISSION (67 374 695 240)'],400-450M,['Other'],['Australia']
2401,https://modernslaveryregister.gov.au/statements/2401/,2021-05-12 12:41:20,"['AERIS RESOURCES LIMITED (30 147 131 977), TRITTON RESOURCES PTY LTD (88 100 095 494)']",400-450M,"['Mining, metals, chemicals and resources (including oil and gas)']",['Australia']
2403,https://modernslaveryregister.gov.au/statements/2403/,2021-05-12 12:32:37,['FLIGHT CENTRE TRAVEL GROUP LIMITED (25 003 377 188)'],1BN+,"['Consumer services, including accommodation, hospitality, tourism and leisure\nEducation and research']",['Australia']
2407,https://modernslaveryregister.gov.au/statements/2407/,2021-04-23 10:35:18,['GLOBE INTERNATIONAL LIMITED (65 007 066 033)'],150-200M,"['Fashion, textiles, apparel and luxury goods']",['Australia']
2410,https://modernslaveryregister.gov.au/statements/2410/,2021-04-23 10:35:32,"['CHANNEL SEVEN BRISBANE PTY. LIMITED (75 009 684 020), CHANNEL SEVEN MELBOURNE PTY. LIMITED (50 004 342 303), CHANNEL SEVEN SYDNEY PTY LIMITED (36 000 145 246), SEVEN NETWORK (OPERATIONS) LIMITED (65 052 845 262), SEVEN WEST MEDIA LIMITED (91 053 480 845), SMG H1 Pty Limited (11 156 156 491), SMG H2 Pty Limited (47 122 710 089), SMG H4 Pty Limited (62 122 717 015), SMG H5 Pty Limited (12 122 717 686), SWM FINANCE PTY LIMITED (64 122 715 468), WEST AUSTRALIAN NEWSPAPERS LIMITED (98 008 667 632), WEST CENTRAL SEVEN LIMITED (16 052 827 675), WESTERN MAIL OPERATIONS PTY LTD (61 009 209 787)']",1BN+,"['Media, publishing, arts and entertainment']",['Australia']
2413,https://modernslaveryregister.gov.au/statements/2413/,2021-04-23 11:58:47,['MIDWAY METALS PTY LTD (88 001 831 090)'],100-150M,"['Transportation, logistics, and storage']",['Australia']
