Title,Worldwide_Gross,Release_Date,MPAA_Rating,Major_Genre,Rotten_Tomatoes_Rating,IMDB_Rating
Entrapment,211700000,Apr 30 1999,PG-13,Thriller/Suspense,38,6.1
Enough,39177215,May 24 2002,PG-13,Thriller/Suspense,21,6.5
Epic Movie,86858578,Jan 26 2007,PG-13,Comedy,2,2.2
Eragon,249488115,Dec 15 2006,PG,Adventure,16,5
Erin Brockovich,258400000,Mar 17 2000,R,Drama,83,7.2
Elizabethtown,50719373,Oct 14 2005,PG-13,Drama,28,6.4
Eat Pray Love,81846373,Aug 13 2010,R,Drama,37,4.7
Eternal Sunshine of the Spotless Mind,47066518,Mar 19 2004,R,Comedy,93,8.5
Eve's Bayou,14843425,Nov 07 1997,R,Drama,80,7
Event Horizon,26673242,Aug 15 1997,R,Horror,21,6.3
Ever After: A Cinderella Story,65705772,Jul 31 1998,PG,Drama,,
Evita,151947179,Dec 25 1996,PG,Musical,61,6.1
Evolution,98341932,Jun 08 2001,PG-13,Comedy,42,5.9
Exit Wounds,79958599,Mar 16 2001,R,Action,33,5.2
The Exorcism of Emily Rose,144216468,Sep 09 2005,PG-13,Thriller/Suspense,45,6.8
Exorcist: The Beginning,43957541,Aug 20 2004,R,Horror,,5
The Express,9808102,Oct 04 2008,PG,Drama,61,7.1
Eyes Wide Shut,86257553,Jul 16 1999,R,Drama,78,7.2
The Faculty,40283321,Dec 25 1998,R,Horror,51,6.3
Keeping the Faith,45336404,Apr 14 2000,PG-13,Romantic Comedy,68,6.5
The Family Stone,91762868,Dec 16 2005,PG-13,Comedy,52,6.3
Father's Day,35681080,May 09 1997,PG-13,Comedy,,4.8
Face/Off,241200000,Jun 27 1997,R,Action,93,7.3
Final Destination 2,89626226,Jan 31 2003,R,Horror,47,6.4
The Fifth Element,263900000,May 09 1997,PG-13,Action,72,7.4
Bring it On,90453550,Aug 25 2000,PG-13,Comedy,63,5.9
Fantastic Four,330579719,Jul 08 2005,PG-13,Action,27,5.7
54,16757163,Aug 28 1998,R,Drama,13,5.6
2 Fast 2 Furious,236220058,Jun 06 2003,PG-13,Action,36,5.1
The Fast and the Furious,206512310,Jun 22 2001,PG-13,Action,53,6
Fahrenheit 9/11,222414517,Jun 23 2004,R,Documentary,83,7.6
From Hell,31598308,Oct 19 2001,R,Thriller/Suspense,57,6.8
Fido,419801,Jun 15 2007,R,Horror,,6.9
Fight Club,100853753,Oct 15 1999,R,Drama,81,8.8
Final Fantasy: The Spirits Within,85131830,Jul 11 2001,PG-13,Adventure,,6.4
Finding Forrester,80013623,Dec 19 2000,PG-13,Drama,74,7.2
Final Destination,112802314,Mar 17 2000,R,Horror,31,6.8
Flicka,21893591,Oct 20 2006,PG,Drama,54,5.7
Flubber,177993801,Nov 26 1997,PG,Comedy,17,4.6
Flushed Away,177665672,Nov 03 2006,PG,Comedy,72,7
Flyboys,14816379,Sep 22 2006,PG-13,Drama,33,6.5
Fly Me To the Moon,40098231,Aug 15 2008,G,Adventure,17,4.7
The Family Man,124715863,Dec 22 2000,PG-13,Comedy,52,6.6
Finding Nemo,867894287,May 30 2003,G,Adventure,98,8.2
The Fountain,15461638,Nov 22 2006,PG-13,Drama,51,7.4
Fantastic Four: Rise of the Silver Surfer,288215319,Jun 15 2007,PG,Action,36,
Flightplan,225706988,Sep 23 2005,PG-13,Thriller/Suspense,38,6.2
The Forbidden Kingdom,129075270,Apr 18 2008,PG-13,Action,64,6.7
Freedom Writers,43090741,Jan 05 2007,PG-13,Drama,69,7.5
Next Friday,59675307,Jan 12 2000,R,Comedy,21,5.3
Freaky Friday,160822438,Aug 06 2003,PG,Comedy,88,6.5
Frequency,68079671,Apr 28 2000,PG-13,Drama,69,7.3
Serenity,38514517,Sep 30 2005,PG-13,Action,81,8
The Forgotton,111311892,Sep 24 2004,PG-13,Thriller/Suspense,,4.9
Friday After Next,33526835,Nov 22 2002,R,Comedy,25,5.3
Frida,56298474,Oct 25 2002,R,Drama,76,7.3
Friday Night Lights,61950770,Oct 08 2004,PG-13,Drama,81,7.2
Fireproof,33451479,Sep 26 2008,PG,Drama,40,5.6
Frost/Nixon,28144586,Dec 05 2008,R,Drama,92,7.9
Factory Girl,1661464,Dec 29 2006,R,Drama,19,6.1
The Full Monty,257938649,Aug 13 1997,R,Comedy,95,7.2
Fun With Dick And Jane,202250000,Dec 21 2005,PG-13,Comedy,29,6.3
Fur,2281089,Nov 10 2006,R,Drama,,
For Your Consideration,5549923,Nov 17 2006,PG-13,Comedy,50,6.2
The Game,48265581,Sep 12 1997,R,Thriller/Suspense,80,7.7
Gangs of New York,190400000,Dec 20 2002,R,Drama,75,7.4
Garfield,200802638,Jun 11 2004,PG,Comedy,,4.8
Georgia Rule,20819601,May 11 2007,R,Drama,17,5.8
"Gone, Baby, Gone",34619699,Oct 19 2007,R,Drama,,
Good Boy!,45312217,Oct 10 2003,PG,Comedy,45,5
The Good German,1308696,Dec 15 2006,R,Drama,32,6.1
The Good Night,22441,Oct 05 2007,R,Romantic Comedy,29,6
Gridiron Gang,41480851,Sep 15 2006,PG-13,Drama,41,6.8
Ghost Ship,68349884,Oct 25 2002,R,Horror,13,5.3
Ghost Rider,237702596,Feb 16 2007,PG-13,Action,26,5.2
Ghost Town,26612350,Sep 19 2008,PG-13,Romantic Comedy,85,4.7
G.I.Jane,48169156,Aug 22 1997,R,Drama,,5.5
G.I. Joe: The Rise of Cobra,302469019,Aug 07 2009,PG-13,Action,,5.8
"Girl, Interrupted",28871190,Dec 21 1999,R,Drama,53,
Gladiator,457683805,May 05 2000,R,Action,77,8.3
Good Luck Chuck,59183821,Sep 21 2007,R,Romantic Comedy,5,5.6
The Green Mile,286601374,Dec 10 1999,R,Drama,77,8.4
The General's Daughter,149705852,Jun 18 1999,R,Drama,22,6.1
Go!,28383441,Apr 09 1999,R,Black Comedy,92,
Goal!,27610873,May 12 2006,PG,Drama,,6.9
Godzilla,376000000,May 19 1998,PG-13,Action,25,4.8
Good Will Hunting,225933435,Feb 20 1987,R,Drama,97,8.1
Gosford Park,41300105,Dec 26 2001,R,Comedy,86,7.3
The Game Plan,147914546,Sep 22 2007,PG,Comedy,27,6.3
Galaxy Quest,90523726,Dec 25 1999,PG,Comedy,89,7.2
Gracie,3036736,Jun 01 2007,PG-13,Drama,59,6.2
Garden State,32381151,Jul 28 2004,R,Drama,86,7.9
George Of The Jungle,174463257,Jul 16 1997,PG,Comedy,54,5.3
How the Grinch Stole Christmas,345141403,Nov 17 2000,PG,Comedy,53,5.7
Grindhouse,50187789,Apr 06 2007,R,Horror,,7.9
Wallace & Gromit: The Curse of the Were-Rabbit,185724838,Oct 05 2005,G,Adventure,95,7.9
Grosse Point Blank,28084357,Apr 11 1997,R,Black Comedy,,7.4
The Grudge 2,68643839,Oct 13 2006,PG-13,Horror,10,4.6
The Grudge,187281115,Oct 22 2004,PG-13,Horror,39,5.7
Grown Ups,250294625,Jun 25 2010,PG-13,Comedy,9,5.8
Guess Who,102115888,Mar 25 2005,PG-13,Comedy,43,5.7
Halloween 2,38512850,Aug 28 2009,R,Horror,,4.5
Hairspray,202823091,Jul 20 2007,PG,Musical,91,7.2
Half Baked,17394881,Jan 16 1998,R,Comedy,29,6.3
The Happening,163403799,Jun 13 2008,R,Thriller/Suspense,18,5.2
Harsh Times,5963961,Nov 10 2006,R,Drama,48,7
The House Bunny,70237389,Aug 22 2008,PG-13,Comedy,39,5.5
Hidalgo,107336658,Mar 05 2004,PG-13,Western,46,6.6
Hide and Seek,123100486,Jan 28 2005,R,Thriller/Suspense,12,5.6
Hoodwinked,110011106,Dec 16 2005,PG,Comedy,,6.7
Head of State,38283765,Mar 28 2003,PG-13,Comedy,30,5.1
He Got Game,21567853,May 01 1998,R,Drama,80,6.8
Heist,28483168,Nov 09 2001,R,Action,66,3.2
Hellboy,99823958,Apr 02 2004,PG-13,Action,81,6.8
Raising Helen,43340302,May 28 2004,PG-13,Comedy,22,5.7
Jet Li's Hero,177352140,Aug 27 2004,PG-13,Action,,
The Haunting,180188905,Jul 23 1999,PG-13,Horror,17,4.6
High Crimes,63781100,Apr 05 2002,PG-13,Thriller/Suspense,31,6.1
High Fidelity,47881663,Mar 31 2000,R,Comedy,92,7.6
Hitch,366784257,Feb 11 2005,PG-13,Romantic Comedy,69,5.7
Hitman,99965792,Nov 21 2007,R,Action,14,6.8
The Hills Have Eyes II,37466538,Mar 23 2007,R,Horror,,5
How to Lose Friends & Alienate People,12031443,Oct 03 2008,R,Comedy,36,6.7
Halloween: H2O,55041738,Aug 05 1998,R,Horror,,
Halloween: Resurrection,37659652,Jul 12 2002,R,Horror,,3.9
Home on the Range,76482461,Apr 02 2004,PG,Comedy,54,5.4
Hannibal Rising,80583311,Feb 09 2007,R,Thriller/Suspense,15,6
The Hangover,465132119,Jun 05 2009,R,Comedy,78,7.9
Hanging Up,51867723,Feb 18 2000,PG-13,Comedy,12,4.3
Holes,72383924,Apr 18 2003,PG,Drama,77,7.1
The Holiday,205190324,Dec 08 2006,PG-13,Romantic Comedy,47,6.9
Hollow Man,191200000,Aug 04 2000,R,Horror,28,5.5
Honey,62192232,Dec 05 2003,PG-13,Drama,20,4.6
Hope Floats,81529000,May 29 1998,PG-13,Drama,23,5.3
Hot Rod,14334401,Aug 03 2007,PG-13,Comedy,40,6.5
The Hours,108775994,Dec 27 2002,PG-13,Drama,80,7.6
Bringing Down the House,164675402,Mar 07 2003,PG-13,Comedy,34,5.4
How High,31260435,Dec 21 2001,R,Comedy,27,5.5
Def Jam's How To Be a Player,14010363,Aug 06 1997,R,Comedy,,
Harry Potter and the Chamber of Secrets,878987880,Nov 15 2002,PG,Adventure,82,7.2
Harry Potter and the Prisoner of Azkaban,795538952,Jun 04 2004,PG,Adventure,90,7.7
Harry Potter and the Goblet of Fire,896013036,Nov 18 2005,PG-13,Adventure,88,7.6
Harry Potter and the Order of the Phoenix,938468864,Jul 11 2007,PG-13,Adventure,78,7.4
Harry Potter and the Half-Blood Prince,937499905,Jul 15 2009,PG,Adventure,83,7.3
Harry Potter and the Sorcerer's Stone,976457891,Nov 16 2001,PG,Adventure,,7.2
Happy Feet,385000317,Nov 17 2006,PG,Adventure,74,6.7
Hercules,250700000,Jun 15 1997,G,Adventure,84,6.8
Hardball,44102389,Sep 14 2001,PG-13,Drama,38,4.1
Hard Rain,19870567,Jan 16 1998,R,Action,26,5.6
The Horse Whisperer,75383563,May 15 1998,PG-13,Drama,71,6.3
The Hitchhiker's Guide to the Galaxy,104019112,Apr 29 2005,PG,Comedy,60,6.6
Hot Fuzz,79197493,Apr 20 2007,R,Comedy,91,8
Hulk,245360480,Jun 20 2003,PG-13,Action,62,5.7
The Incredible Hulk,263349257,Jun 13 2008,PG-13,Adventure,66,7.1
The Hunchback of Notre Dame,325500000,Jun 21 1996,G,Adventure,73,6.5
The Hunted,45016494,Mar 14 2003,R,Action,31,5.8
Starsky & Hutch,170200225,Mar 05 2004,PG-13,Comedy,64,6.2
Hollywood Homicide,51107785,Jun 13 2003,PG-13,Action,30,5.2
Ice Age: Dawn of the Dinosaurs,886685941,Jul 01 2009,PG,Adventure,,7.1
Ice Age,383257136,Mar 15 2002,PG,Adventure,77,7.4
Identity,90231264,Apr 25 2003,R,Thriller/Suspense,62,7.3
An Ideal Husband,18542974,Jun 18 1999,PG-13,Comedy,86,6.7
Idlewild,12669914,Aug 25 2006,R,Musical,47,5.8
Igor,26608350,Sep 19 2008,PG,Comedy,35,6
I Still Know What You Did Last Summer,40020622,Nov 13 1998,R,Horror,8,4.1
I Know What You Did Last Summer,125250091,Oct 17 1997,R,Horror,36,5.4
The Illusionist,84276175,Aug 18 2006,PG-13,Drama,74,7.7
The Imaginarium of Doctor Parnassus,58692979,Dec 25 2009,PG-13,Adventure,64,7.1
Imagine That,16123323,Jun 12 2009,PG,Comedy,38,5.4
Inception,753830280,Jul 16 2010,PG-13,Thriller/Suspense,87,9.1
Infamous,2613717,Oct 13 2006,R,Drama,72,7.1
The Informant,41771168,Sep 18 2009,R,Thriller/Suspense,,6.2
Inkheart,58051454,Jan 23 2009,PG,Adventure,40,6.1
In & Out,83226569,Sep 19 1997,PG-13,Comedy,71,6.1
I Now Pronounce You Chuck and Larry,185708462,Jul 20 2007,PG-13,Comedy,14,6.1
The Insider,60265197,Nov 05 1999,R,Drama,96,8
Insomnia,113622499,May 24 2002,R,Thriller/Suspense,92,6.3
Inspector Gadget,97387965,Jul 23 1999,PG,Comedy,21,3.9
Instinct,34105207,Jun 04 1999,R,Drama,27,6.2
The Invasion,40147042,Aug 17 2007,PG-13,Thriller/Suspense,19,6
"I, Robot",348601023,Jul 16 2004,PG-13,Action,58,
Iron Man,582604126,May 02 2008,PG-13,Action,94,7.9
The Iron Giant,31333917,Aug 04 1999,PG,Adventure,97,7.9
I Spy,33561137,Nov 01 2002,PG-13,Action,15,5.3
The Italian Job,175826012,May 30 2003,PG-13,Adventure,73,6.9
I Think I Love My Wife,13205411,Mar 16 2007,R,Romantic Comedy,19,5.5
Jack Frost,34645374,Dec 11 1998,PG,Comedy,15,4.6
Jackie Brown,72673162,Dec 25 1997,R,Drama,85,7.6
The Jackal,159356941,Nov 14 1997,R,Thriller/Suspense,12,6
Jarhead,96947540,Nov 04 2005,R,Drama,61,7.2
The World is Not Enough,361730660,Nov 19 1999,PG-13,Action,51,6.3
Die Another Day,431942139,Nov 22 2002,PG-13,Action,59,6
Casino Royale,596365000,Nov 17 2006,PG-13,Action,94,8
Jackass: The Movie,75466905,Oct 25 2002,R,Comedy,,6.3
Journey to the Center of the Earth,240904370,Jul 11 2008,PG,Adventure,,5.9
Joe Dirt,30987695,Apr 11 2001,PG-13,Comedy,11,5.4
Jeepers Creepers,55026845,Aug 31 2001,R,Horror,45,5.7
Johnny English,160323929,Jul 18 2003,PG,Comedy,33,5.8
Jeepers Creepers II,35623801,Aug 29 2003,R,Horror,,5.3
The Assassination of Jesse James by the Coward Robert Ford,15001776,Sep 21 2007,R,Western,75,7.7
Johnson Family Vacation,31462753,Apr 07 2004,PG-13,Comedy,6,3.8
Jersey Girl,37066129,Mar 26 2004,PG-13,Comedy,40,6.2
The Jungle Book 2,135703599,Feb 14 2003,G,Adventure,19,5.2
Joe Somebody,24515990,Dec 21 2001,PG,Comedy,19,5.3
Jonah Hex,10547117,Jun 18 2010,PG-13,Action,13,4.3
John Q,102226631,Feb 15 2002,PG-13,Drama,22,6.6
Jonah: A VeggieTales Movie,25606175,Oct 04 2002,G,Adventure,,6.3
Joy Ride,21973182,Oct 05 2001,R,Thriller/Suspense,,5.4
Jerry Maguire,274000000,Dec 13 1996,R,Romantic Comedy,84,7.2
Jay and Silent Bob Strike Back,33762400,Aug 24 2001,R,Comedy,53,6.8
Juno,230327671,Dec 05 2007,PG-13,Comedy,93,7.9
Jurassic Park 3,365900000,Jul 18 2001,PG-13,Action,,7.9
Just Married,56127162,Jan 10 2003,PG-13,Romantic Comedy,20,5.1
Freddy vs. Jason,114326122,Aug 15 2003,R,Horror,41,5.8
K-19: The Widowmaker,65716126,Jul 19 2002,PG-13,Action,61,6.5
Kate and Leopold,70937778,Dec 25 2001,PG-13,Romantic Comedy,,6.2
Kangaroo Jack,90723216,Jan 17 2003,PG,Comedy,,4.1
The Original Kings of Comedy,38236338,Aug 18 2000,R,Concert/Performance,86,6.2
Kiss of the Dragon,36833473,Jul 06 2001,R,Action,51,6.3
The Karate Kid,350591618,Jun 11 2010,PG,Adventure,67,6.1
Kicking and Screaming,55842724,May 13 2005,PG,Comedy,,6.9
Kill Bill: Volume 2,150907920,Apr 16 2004,R,Action,,8
Kill Bill: Volume 1,180098138,Oct 10 2003,R,Action,85,8.2
Kingdom Come,23393939,Apr 11 2001,PG,Comedy,28,
Kiss the Girls,60527873,Oct 03 1997,R,Thriller/Suspense,32,6.4
King Kong,550517357,Dec 14 2005,PG-13,Adventure,83,7.6
Knocked Up,218994109,Jun 01 2007,R,Romantic Comedy,90,7.5
Knight and Day,228937227,Jun 23 2010,PG-13,Action,,6.6
The Kingdom,86509602,Sep 28 2007,R,Action,51,7.1
Black Knight,33422806,Nov 21 2001,PG-13,Comedy,13,4.3
Knowing,187858642,Mar 20 2009,PG-13,Thriller/Suspense,32,6.4
K-PAX,50315140,Oct 26 2001,PG-13,Drama,40,7.3
Christmas with the Kranks,96501902,Nov 24 2004,PG,Comedy,5,4.7
A Knight's Tale,56083966,May 11 2001,PG-13,Adventure,58,6.6
The Kite Runner,73222245,Dec 14 2007,PG-13,Drama,66,7.8
L.A. Confidential,110604977,Sep 19 1997,R,Drama,99,8.4
Law Abiding Citizen,113190972,Oct 16 2009,R,Thriller/Suspense,25,7.2
Ladder 49,102332848,Oct 01 2004,PG-13,Action,40,6.5
The Ladykillers,77692139,Mar 26 2004,R,Comedy,54,6.2
Lakeview Terrace,44263506,Sep 19 2008,PG-13,Thriller/Suspense,46,6.3
Land of the Lost,69548641,Jun 05 2009,PG-13,Comedy,26,5.3
Changing Lanes,66790248,Apr 12 2002,R,Thriller/Suspense,77,6.5
Lars and the Real Girl,10553442,Oct 12 2007,PG-13,Comedy,81,7.5
Little Children,14763019,Oct 06 2006,R,Drama,79,7.8
Save the Last Dance,131638276,Jan 12 2001,PG-13,Drama,53,5.9
I am Legend,585055701,Dec 14 2007,PG-13,Horror,69,7.1
Life Before Her Eyes,303439,Apr 18 2008,R,Drama,,
Letters from Iwo Jima,68756082,Dec 20 2006,R,Drama,91,8.1
The Hurricane,73956241,Dec 29 1999,R,Drama,83,7.4
Liar Liar,302710615,Mar 21 1997,PG-13,Comedy,82,6.7
The Life Aquatic with Steve Zissou,34806726,Dec 10 2004,R,Comedy,53,7.2
Life,73521587,Apr 16 1999,R,Comedy,50,5.3
Like Mike,62432423,Jul 03 2002,PG,Comedy,56,4.4
Lilo & Stitch,245800000,Jun 21 2002,PG,Adventure,,7.1
The Lizzie McGuire Movie,55534455,May 02 2003,PG,Comedy,40,4.7
The Last King of Scotland,48363516,Sep 27 2006,R,Drama,87,7.8
Little Miss Sunshine,100523181,Jul 26 2006,R,Comedy,91,8
In the Land of Women,14140402,Apr 20 2007,PG-13,Comedy,44,6.7
Lions for Lambs,63211088,Nov 09 2007,R,Drama,27,6.2
How to Lose a Guy in 10 Days,177079973,Feb 07 2003,PG-13,Romantic Comedy,43,6.1
The Losers,23591432,Apr 23 2010,PG-13,Action,48,
Lost In Space,136117629,Apr 03 1998,PG-13,Adventure,26,4.8
Love and Basketball,27709625,Apr 21 2000,PG-13,Drama,81,6.7
The Lord of the Rings: The Two Towers,926284377,Dec 18 2002,PG-13,Adventure,,8.7
The Lord of the Rings: The Return of the King,1133027325,Dec 17 2003,PG-13,Adventure,,8.8
The Lord of the Rings: The Fellowship of the Ring,868621686,Dec 19 2001,PG-13,Adventure,,8.8
Lonesome Jim,154187,Mar 24 2006,R,Comedy,,6.7
The Last Legion,21439015,Aug 17 2007,PG-13,Action,17,5.4
The Last Samurai,456810575,Dec 05 2003,R,Action,65,7.8
The Last Song,75850384,Mar 31 2010,PG,Drama,19,3.9
Lost in Translation,106454000,Sep 12 2003,R,Drama,94,7.9
The Lost World: Jurassic Park,786686679,May 22 1997,PG-13,Action,,6
License to Wed,70799818,Jul 03 2007,PG,Romantic Comedy,7,5.1
Lethal Weapon 4,285400000,Jul 10 1998,R,Action,54,6.4
The Lucky Ones,266967,Sep 26 2008,R,Drama,36,7.1
Lucky You,6521829,May 04 2007,PG-13,Drama,28,5.9
Love Actually,247967903,Nov 07 2003,R,Romantic Comedy,63,7.9
Herbie: Fully Loaded,144110682,Jun 22 2005,G,Comedy,42,4.7
For Love of the Game,46112640,Sep 17 1999,PG-13,Drama,64,6.2
Love Ranch,134904,Jun 30 2010,R,Drama,13,5.6
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",748806957,Dec 09 2005,PG,Adventure,76,
The Longest Yard,190320568,May 27 2005,PG-13,Comedy,31,6.2
Madagascar,532680671,May 27 2005,PG,Adventure,55,6.6
Jane Austen's Mafia,30143795,Jul 24 1998,PG-13,Comedy,,5
Paul Blart: Mall Cop,180449670,Jan 16 2009,PG,Comedy,35,5.3
A Man Apart,44114828,Apr 04 2003,R,Action,11,5.7
Man on Fire,118706816,Apr 23 2004,R,Thriller/Suspense,38,7.7
Man on the Moon,47407635,Dec 22 1999,R,Drama,62,7.4
The Marine,22165608,Oct 13 2006,PG-13,Action,20,4.5
The Matador,17290120,Dec 30 2005,R,Thriller/Suspense,76,6.9
The Matrix,460279930,Mar 31 1999,R,Action,86,8.7
My Big Fat Greek Wedding,368744044,Apr 19 2002,PG,Romantic Comedy,75,6.6
My Best Friend's Girl,34787111,Sep 19 2008,R,Comedy,15,5.8
My Bloody Valentine,98817028,Jan 16 2009,R,Horror,,5.7
Wu ji,35869934,May 05 2006,PG-13,Action,,5.6
The Martian Child,9076823,Nov 02 2007,PG,Drama,,
The Manchurian Candidate,96148711,Jul 30 2004,R,Thriller/Suspense,81,6.7
Mickey Blue Eyes,53864342,Aug 20 1999,PG-13,Comedy,44,5.7
Master and Commander: The Far Side of the World,209486484,Nov 14 2003,PG-13,Adventure,85,7.5
Nanny McPhee,122540909,Jan 27 2006,PG,Comedy,73,6.7
Million Dollar Baby,216763646,Dec 15 2004,PG-13,Drama,91,8.2
Mean Girls,128947227,Apr 30 2004,PG-13,Comedy,83,7
"Me, Myself & Irene",149270999,Jun 23 2000,R,Romantic Comedy,48,6.9
Memoirs of a Geisha,161510853,Dec 09 2005,PG-13,Drama,36,7.1
Men in Black,587790539,Jul 01 1997,PG-13,Adventure,91,7
Men of Honor,82339483,Nov 10 2000,R,Drama,41,6.8
Memento,39665950,Mar 16 2001,R,Drama,,8.7
Mercury Rising,32983332,Apr 03 1998,R,Thriller/Suspense,17,5.8
Message in a Bottle,52880016,Feb 12 1999,PG-13,Drama,31,5.6
Meet Joe Black,44650003,Nov 13 1998,PG-13,Drama,50,6.9
Magnolia,48446802,Dec 17 1999,R,Drama,83,8
The Men Who Stare at Goats,67348218,Nov 06 2009,R,Black Comedy,53,6.4
Men in Black 2,441818803,Jul 03 2002,PG-13,Action,,7.4
Miss Congeniality 2: Armed and Fabulous,101382396,Mar 24 2005,PG-13,Comedy,,4.7
Mission: Impossible 2,546209889,May 24 2000,PG-13,Action,,6.9
Miss Congeniality,212100000,Dec 22 2000,PG-13,Comedy,41,6.1
The Missing,38253433,Nov 26 2003,R,Western,59,7.4
Mighty Joe Young,50632037,Dec 25 1998,PG,Adventure,52,5.4
The Majestic,37306334,Dec 21 2001,PG,Drama,41,6.8
Malibu's Most Wanted,34499204,Apr 18 2003,PG-13,Comedy,30,4.8
Mission to Mars,106000000,Mar 10 2000,PG,Adventure,24,5.1
Captain Corelli's Mandolin,62097495,Aug 17 2001,R,Drama,29,5.7
Midnight in the Garden of Good and Evil,25078937,Nov 21 1997,R,Drama,50,6.5
The Man in the Iron Mask,56968169,Mar 13 1998,PG-13,Adventure,31,7.2
Monster-in-Law,155931301,May 13 2005,PG-13,Comedy,16,5.1
Mona Lisa Smile,121598309,Dec 19 2003,PG-13,Drama,35,6.1
Monster's Ball,44873922,Dec 26 2001,R,Drama,85,7.2
MoliËre,791154,Jul 27 2007,PG-13,Comedy,,7.2
Monster,58003694,Dec 24 2003,R,Drama,82,7.4
"Monsters, Inc.",526864330,Nov 02 2001,G,Adventure,95,7.4
Money Talks,41076865,Aug 22 1997,R,Action,17,5.7
Moon,6934829,Jun 12 2009,R,Thriller/Suspense,,8
The Mothman Prophecies,54639865,Jan 25 2002,PG-13,Thriller/Suspense,52,6.5
Moulin Rouge,179213196,May 18 2001,PG-13,Musical,,7.3
Me and Orson Welles,1190003,Nov 25 2009,PG-13,Drama,84,7.1
Meet the Fockers,516567575,Dec 22 2004,PG-13,Comedy,38,6.4
Meet the Parents,301500000,Oct 06 2000,PG-13,Comedy,84,7
The Miracle,64445708,Feb 06 2004,PG,Drama,,6.1
Minority Report,358824714,Jun 21 2002,PG-13,Action,91,7.7
Mortal Kombat: Annihilation,51327406,Nov 21 1997,PG-13,Action,7,3.2
Mouse Hunt,61894591,Dec 19 1997,PG,Comedy,,6.1
Miss Potter,35025861,Dec 29 2006,PG,Drama,66,7.1
A Mighty Heart,18932117,Jun 22 2007,R,Drama,78,6.7
The Matrix Reloaded,738576929,May 15 2003,R,Action,73,7.1
The Matrix Revolutions,424259759,Nov 05 2003,R,Action,37,6.5
Mulan,303500000,Jun 19 1998,G,Adventure,86,7.2
The Mummy,416385488,May 07 1999,PG-13,Adventure,54,6.8
The Mummy Returns,433007640,May 04 2001,PG-13,Adventure,47,6.2
The Mummy: Tomb of the Dragon Emperor,397912118,Aug 01 2008,PG-13,Adventure,13,5.1
Muppets From Space,16304786,Jul 14 1999,G,Comedy,62,6.1
Murder by Numbers,56643267,Apr 19 2002,R,Thriller/Suspense,31,5.9
Night at the Museum,574480841,Dec 22 2006,PG,Comedy,43,6.4
The Musketeer,27053815,Sep 07 2001,PG-13,Adventure,10,4.4
Music and Lyrics,145556146,Feb 14 2007,PG-13,Romantic Comedy,63,6.6
Miami Vice,163818556,Jul 28 2006,R,Action,47,6
Monsters vs. Aliens,381687380,Mar 27 2009,PG,Adventure,72,6.8
The Mexican,147808615,Mar 02 2001,R,Action,55,5.9
My Best Friend's Wedding,287200000,Jun 20 1997,PG-13,Comedy,72,6.2
"Dude, Where's My Car?",73180297,Dec 15 2000,PG-13,Comedy,19,
My Dog Skip,35512760,Jan 12 2000,PG,Drama,72,6.9
My Favorite Martian,36850101,Feb 12 1999,PG,Comedy,13,4.5
My Fellow Americans,22331846,Dec 20 1996,PG-13,Comedy,50,6.3
My Sister's Keeper,89053995,Jun 26 2009,PG-13,Drama,48,7.4
The Mystery Men,29762011,Aug 06 1999,PG,Comedy,,
Mystic River,156835191,Oct 08 2003,R,Drama,87,8
National Treasure,347405002,Nov 19 2004,PG,Adventure,44,6.9
The Nativity Story,46432264,Dec 01 2006,PG,Drama,37,6.6
Into the Blue,41982227,Sep 30 2005,PG-13,Adventure,21,5.7
The Incredibles,632882184,Nov 05 2004,PG,Adventure,97,8.1
The Negotiator,49105766,Jul 29 1998,R,Action,81,7.2
The New Guy,28972187,May 10 2002,PG-13,Comedy,7,5.4
In Good Company,63489752,Dec 29 2004,PG-13,Comedy,84,6.8
Notting Hill,363728226,May 28 1999,PG-13,Romantic Comedy,82,6.9
Little Nicky,58270391,Nov 10 2000,PG-13,Comedy,21,5
The Ninth Gate,58394308,Mar 10 2000,R,Thriller/Suspense,,6.6
Night at the Museum: Battle of the Smithsonian,413054631,May 22 2009,PG,Comedy,,5.9
Nick and Norah's Infinite Playlist,31487293,Oct 03 2008,PG-13,Drama,73,6.8
No Reservations,92107979,Jul 27 2007,PG,Romantic Comedy,40,6.3
The Notebook,102276787,Jun 25 2004,PG-13,Drama,52,8
Napoleon Dynamite,46140956,Jun 11 2004,PG,Comedy,70,6.9
The Namesake,20180109,Mar 09 2007,PG-13,Drama,,7.5
Intolerable Cruelty,121327628,Oct 10 2003,PG-13,Romantic Comedy,75,6.4
The Interpreter,163954076,Apr 22 2005,PG-13,Thriller/Suspense,58,6.5
The International,53850527,Feb 13 2009,R,Thriller/Suspense,59,
The Number 23,76593167,Feb 23 2007,R,Thriller/Suspense,8,6.2
Nurse Betty,27732366,Sep 08 2000,R,Black Comedy,84,6.4
Jimmy Neutron: Boy Genius,102992536,Dec 21 2001,G,Adventure,,5.9
Nutty Professor II: The Klumps,161600000,Jul 28 2000,PG-13,Comedy,,4.3
Finding Neverland,118676606,Nov 12 2004,PG,Drama,82,7.9
Into the Wild,53813837,Sep 21 2007,R,Drama,82,8.2
The Object of my Affection,29145924,Apr 17 1998,R,Romantic Comedy,50,5.9
